nx+5;15504;0.0157;
standard10;184756;0.8455;
nx10;184756;0.6248;
standard+10;184756;0.7913;
nx+10;184756;0.6480;


brunson_corporate_leadership;44;99;
standard0;99;0.0007;
nx0;99;0.0003;
standard2;99;0.0009;
nx2;99;0.0009;
standard+2;99;0.0009;
nx+2;99;0.0010;
standard5;0;0.0003;
nx5;0;0.0003;
standard+5;0;0.0003;
nx+5;0;0.0003;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0004;
nx+10;0;0.0003;


mit;96;2539;
standard0;5124;0.0615;
nx0;5124;0.0498;
standard2;0;120;
nx2;2539;0.0123;
standard+2;0;120;
nx+2;2539;0.0113;
standard5;0;120;
nx5;2401007;2.8428;
standard+5;0;120;
nx+5;2401007;2.8720;
standard10;0;120;
nx10;0;120;
standard+10;0;120;
nx+2;0;120;


moreno_sampson;18;126;
standard0;23;0.0009;
nx0;23;0.0004;
standard2;126;0.0079;
nx2;126;0.0008;
standard+2;126;0.0060;
nx+2;126;0.0008;
standard5;1768;0.0062;
nx5;1768;0.0032;
standard+5;1768;0.0067;
nx+5;1768;0.0033;
standard10;29;0.0054;
nx10;29;0.0067;
standard+10;29;0.0017;
nx+10;29;0.0067;


moreno_les_miserables;77;254;
standard0;59;0.0007;
nx0;59;0.0005;
standard2;254;0.0035;
nx2;254;0.0017;
standard+2;254;0.0034;
nx+2;254;0.0016;
standard5;644;0.0031;
nx5;644;0.0025;
standard+5;644;0.0031;
nx+5;644;0.0026;
standard10;2;0.0017;
nx10;2;0.0021;
standard+10;2;0.0007;
nx+10;2;0.0020;


contiguous_usa;49;107;
standard0;60;0.0004;
nx0;60;0.0003;
standard2;107;0.0010;
nx2;107;0.0009;
standard+2;107;0.0010;
nx+2;107;0.0009;
standard5;0;0.0003;
nx5;0;0.0003;
standard+5;0;0.0003;
nx+5;0;0.0003;
standard10;0;0.0003;
nx10;0;0.0004;
standard+10;0;0.0003;
nx+10;0;0.0003;


league-de1-2016;18;153;
standard0;1;0.0002;
nx0;1;0.0002;
standard2;153;0.1797;
nx2;153;0.0008;
standard+2;153;0.1906;
nx+2;153;0.0008;
standard5;8568;0.1803;
nx5;8568;0.0096;
standard+5;8568;0.1912;
nx+5;8568;0.0092;
standard10;43758;0.2006;
nx10;43758;0.1893;
standard+10;43758;0.1675;
nx+10;43758;0.1950;


moreno_bison;26;222;
standard0;41;0.0005;
nx0;41;0.0004;
standard2;222;0.0353;
nx2;222;0.0011;
standard+2;222;0.0368;
nx+2;222;0.0011;
standard5;6233;0.0379;
nx5;6233;0.0086;
standard+5;6233;0.0397;
nx+5;6233;0.0090;
standard10;3207;0.0376;
nx10;3207;0.0448;
standard+10;3207;0.0182;
nx+10;3207;0.0492;


moreno_rhesus;16;69;
standard0;25;0.0002;
nx0;25;0.0001;
standard2;69;0.0008;
nx2;69;0.0006;
standard+2;69;0.0009;
nx+2;69;0.0006;
standard5;65;0.0008;
nx5;65;0.0008;
standard+5;65;0.0008;
nx+5;65;0.0008;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0002;
nx+10;0;0.0003;


moreno_train;64;243;
standard0;43;0.0005;
nx0;43;0.0004;
standard2;243;0.0046;
nx2;243;0.0015;
standard+2;243;0.0047;
nx+2;243;0.0016;
standard5;1140;0.0050;
